2019-05-22 02:50:37 [INF] [fileserver.go:3942] [main.HttpHandler.ServeHTTP.func1] [Access] 2019/05/22 - 02:50:37 | map[] | 0s | [ | GET | 200 |/
2019-05-22 02:50:50 [INF] [fileserver.go:3942] [main.HttpHandler.ServeHTTP.func1] [Access] 2019/05/22 - 02:50:50 | map[Access-Control-Allow-Origin:[*] Access-Control-Allow-Headers:[Authorization, Content-Type, Depth, User-Agent, X-File-Size, X-Requested-With, X-Requested-By, If-Modified-Since, X-File-Name, X-File-Type, Cache-Control, Origin] Access-Control-Allow-Methods:[GET, POST, OPTIONS, PUT, DELETE] Access-Control-Expose-Headers:[Authorization]] | 3.0041ms | [ | POST | 200 |/upload
2019-05-22 02:53:02 [INF] [fileserver.go:3942] [main.HttpHandler.ServeHTTP.func1] [Access] 2019/05/22 - 02:53:02 | map[Access-Control-Allow-Methods:[GET, POST, OPTIONS, PUT, DELETE] Access-Control-Expose-Headers:[Authorization] Access-Control-Allow-Origin:[*] Access-Control-Allow-Headers:[Authorization, Content-Type, Depth, User-Agent, X-File-Size, X-Requested-With, X-Requested-By, If-Modified-Since, X-File-Name, X-File-Type, Cache-Control, Origin]] | 2.0005ms | 127.0.0.1 | POST | 200 |/upload
2019-05-22 02:53:22 [INF] [fileserver.go:3942] [main.HttpHandler.ServeHTTP.func1] [Access] 2019/05/22 - 02:53:22 | map[Access-Control-Allow-Methods:[GET, POST, OPTIONS, PUT, DELETE] Content-Type:[application/octet-stream] Content-Disposition:[attachment] Last-Modified:[Tue, 21 May 2019 18:50:50 GMT] Accept-Ranges:[bytes] Content-Length:[45457] Access-Control-Allow-Origin:[*] Access-Control-Allow-Headers:[Authorization, Content-Type, Depth, User-Agent, X-File-Size, X-Requested-With, X-Requested-By, If-Modified-Since, X-File-Name, X-File-Type, Cache-Control, Origin] Access-Control-Expose-Headers:[Authorization]] | 1.0031ms | [ | GET | 200 |/group1/default/20190522/02/50/0/%E5%BE%AE%E4%BF%A1%E5%9B%BE%E7%89%87_20190512140537.jpg
2019-05-22 02:59:14 [INF] [fileserver.go:3942] [main.HttpHandler.ServeHTTP.func1] [Access] 2019/05/22 - 02:59:14 | map[Access-Control-Allow-Headers:[Authorization, Content-Type, Depth, User-Agent, X-File-Size, X-Requested-With, X-Requested-By, If-Modified-Since, X-File-Name, X-File-Type, Cache-Control, Origin] Access-Control-Allow-Methods:[GET, POST, OPTIONS, PUT, DELETE] Access-Control-Expose-Headers:[Authorization] Access-Control-Allow-Origin:[*]] | 2.0002ms | 127.0.0.1 | POST | 200 |/upload
2019-05-22 02:59:59 [INF] [fileserver.go:3942] [main.HttpHandler.ServeHTTP.func1] [Access] 2019/05/22 - 02:59:59 | map[Access-Control-Allow-Methods:[GET, POST, OPTIONS, PUT, DELETE] Access-Control-Expose-Headers:[Authorization] Access-Control-Allow-Origin:[*] Access-Control-Allow-Headers:[Authorization, Content-Type, Depth, User-Agent, X-File-Size, X-Requested-With, X-Requested-By, If-Modified-Since, X-File-Name, X-File-Type, Cache-Control, Origin]] | 979.2µs | 127.0.0.1 | POST | 200 |/upload
2019-05-22 03:00:40 [INF] [fileserver.go:3942] [main.HttpHandler.ServeHTTP.func1] [Access] 2019/05/22 - 03:00:40 | map[Access-Control-Allow-Origin:[*] Access-Control-Allow-Headers:[Authorization, Content-Type, Depth, User-Agent, X-File-Size, X-Requested-With, X-Requested-By, If-Modified-Since, X-File-Name, X-File-Type, Cache-Control, Origin] Access-Control-Allow-Methods:[GET, POST, OPTIONS, PUT, DELETE] Access-Control-Expose-Headers:[Authorization]] | 7.015ms | 127.0.0.1 | POST | 200 |/upload
2019-05-22 03:01:43 [INF] [fileserver.go:3942] [main.HttpHandler.ServeHTTP.func1] [Access] 2019/05/22 - 03:01:43 | map[Access-Control-Allow-Origin:[*] Access-Control-Allow-Headers:[Authorization, Content-Type, Depth, User-Agent, X-File-Size, X-Requested-With, X-Requested-By, If-Modified-Since, X-File-Name, X-File-Type, Cache-Control, Origin] Access-Control-Allow-Methods:[GET, POST, OPTIONS, PUT, DELETE] Access-Control-Expose-Headers:[Authorization]] | 1.0013ms | 127.0.0.1 | POST | 200 |/upload
2019-05-22 03:01:51 [INF] [fileserver.go:3942] [main.HttpHandler.ServeHTTP.func1] [Access] 2019/05/22 - 03:01:51 | map[Access-Control-Allow-Headers:[Authorization, Content-Type, Depth, User-Agent, X-File-Size, X-Requested-With, X-Requested-By, If-Modified-Since, X-File-Name, X-File-Type, Cache-Control, Origin] Access-Control-Allow-Methods:[GET, POST, OPTIONS, PUT, DELETE] Access-Control-Expose-Headers:[Authorization] Access-Control-Allow-Origin:[*]] | 1.0001ms | 127.0.0.1 | POST | 200 |/upload
2019-05-22 03:02:14 [INF] [fileserver.go:3942] [main.HttpHandler.ServeHTTP.func1] [Access] 2019/05/22 - 03:02:14 | map[Access-Control-Allow-Origin:[*] Access-Control-Allow-Headers:[Authorization, Content-Type, Depth, User-Agent, X-File-Size, X-Requested-With, X-Requested-By, If-Modified-Since, X-File-Name, X-File-Type, Cache-Control, Origin] Access-Control-Allow-Methods:[GET, POST, OPTIONS, PUT, DELETE] Access-Control-Expose-Headers:[Authorization]] | 1.9996ms | 127.0.0.1 | POST | 200 |/upload
2019-05-22 03:02:59 [INF] [fileserver.go:3942] [main.HttpHandler.ServeHTTP.func1] [Access] 2019/05/22 - 03:02:59 | map[Access-Control-Allow-Origin:[*] Access-Control-Allow-Headers:[Authorization, Content-Type, Depth, User-Agent, X-File-Size, X-Requested-With, X-Requested-By, If-Modified-Since, X-File-Name, X-File-Type, Cache-Control, Origin] Access-Control-Allow-Methods:[GET, POST, OPTIONS, PUT, DELETE] Access-Control-Expose-Headers:[Authorization]] | 2.002ms | [ | POST | 200 |/upload
